N,Name,Image,Art,Type 1,Type 2,Class,Ability 1,Ability 2,Ability H,HP,Atk,Def,Spa,Spd,Spe,BST,Pre-Evo,Evolution,Evo Data,Tag,Form Name,Gender Rate,Growth Rate,Exp,EHP,EAtk,EDef,ESpa,ESpd,ESpe,Catch,Happy,Hatch,Egg Group 1,Egg Group 2,Height,Weight,Color,Habitat,Moves,Pokedex,Locale
1,Hedgeko,https://i.imgur.com/ellPeVV.png,http://fav.me/dbnrld7,Grass,,Lizard,Overgrow,,Justified,42,62,56,40,46,69,315,,Floreko,16,3base,,Female50Percent,Parabolic,62,0,0,0,0,0,1,45,70,5355,Monster,,0.3,5.9,Green,Forest,,Hedgeko are normally found napping in the top of trees. Their foliage-like color helps camouflage them from predators.,Event
2,Floreko,https://i.imgur.com/VAyDEkU.png,http://fav.me/dbnrld7,Grass,,Lizard,Overgrow,,Justified,60,72,68,57,58,90,405,Hedgeko,Sentecko,36,3mid,,Female50Percent,Parabolic,142,0,0,0,0,0,2,45,70,5355,Monster,,0.8,20.5,Green,Forest,,"Floreko can jump gracefully from branch to branch, never missing a beat. Their scarf of leaves can be used as a whip to attack foes.",
3,Sentecko,https://i.imgur.com/fC49iGe.png,http://fav.me/dbnrld7,Grass,Fighting,Scrapper,Overgrow,,Justified,80,116,78,76,70,110,530,Floreko,,,3final,,Female50Percent,Parabolic,240,0,1,0,0,0,3,45,70,5355,Monster,,1.4,58.9,Green,Forest,,"Sentecko are the guardians of forests, normally found patrolling its home. It fights using its hardened forearms, which can topple even the heaviest of foes.",
4,Scorchog,https://i.imgur.com/oJ17ugX.png,http://fav.me/dbl6w95,Fire,,Mole,Blaze,,Battle Armor,50,52,75,52,50,30,309,,Bombardillo,16,3base,,Female50Percent,Parabolic,62,0,0,1,0,0,0,45,70,5355,Field,,0.4,7.8,Red,Mountain,,"While normally gentle, they can lose their temper easily when startled. The flame on its head grows brighter depending on its mood.",Event
5,Bombardillo,https://i.imgur.com/1oFWbDU.png,http://fav.me/dbl6w95,Fire,,Shell,Blaze,,Battle Armor,73,75,90,60,62,45,405,Scorchog,Kabangolin,36,3mid,,Female50Percent,Parabolic,142,0,0,2,0,0,0,45,70,5355,Field,,0.9,32.6,Brown,Mountain,,"The shell of a Bombardillo have tiny slits that can emit flames. When angered, it curls up into a ball and combusts, creating a devastating explosion.",
6,Kabangolin,https://i.imgur.com/J1KIDEF.png,http://fav.me/dbl6w95,Fire,Steel,Armor,Blaze,,Battle Armor,93,105,109,73,95,60,535,Bombardillo,,,3final,,Female50Percent,Parabolic,240,1,0,3,0,0,0,45,70,5355,Field,,2.2,172.6,Black,Mountain,,"Kabangolin scales are as strong as metal, and as tough as diamond. A frenzied Kabangolin can tear apart mountains, leaving everything in its path in ruins.",
7,Fisker,https://i.imgur.com/vJA0q6K.png,http://fav.me/dboyl7s,Water,,Whiskers,Torrent,,Magic Guard,46,58,40,58,45,59,306,,Catfisk,16,3base,,Female50Percent,Parabolic,62,0,0,0,1,0,0,45,70,5355,Water 1,,0.3,6.2,Blue,WatersEdge,,"The whiskers of a Fisker can detect strange movements in the air and water, and uses this to their advantage of avoiding conflict with larger Pokemon.",Event
8,Catfisk,https://i.imgur.com/WIfEuJy.png,http://fav.me/dboyl7s,Water,,Whiskers,Torrent,,Magic Guard,68,65,65,72,75,60,405,Fisker,Nekimono,36,3mid,,Female50Percent,Parabolic,142,0,0,0,2,0,0,45,70,5355,Water 1,,0.8,26.8,Blue,WatersEdge,,"Catfisk are excellent divers, able to reach depths that human divers can not. Their whiskers are fine tuned to locate objects beneath the oceans' sands.",
9,Nekimono,https://i.imgur.com/GHTIz7c.png,http://fav.me/dboyl7s,Water,Psychic,Warding,Torrent,,Magic Guard,83,75,86,107,102,80,533,Catfisk,,,3final,,Female50Percent,Parabolic,240,0,0,0,3,1,0,45,70,5355,Water 1,,1.5,61.2,Blue,WatersEdge,,"A Nekimono's whiskers are able to detect spirits and ghosts. If they concentrate hard enough, they can make those strange presences tangible, which it uses for battle.",
10,Elfae,https://i.imgur.com/pTTCK23.png,http://fav.me/dbr488f,Fairy,,Sweets,Honey Gather,Sweet Veil,Prankster,65,45,60,58,113,93,434,,,,1,Watermelon,Female50Percent,Fast,395,3,0,0,0,0,0,185,70,5355,Fairy,,0.1,0.5,White,Urban,,These small creatures spend their time making candy from all sorts of sugars. It is believed that the creation of human-made candy was derived from Elfae.,
